Material Description,Material No,date,Plant,sales,UOM,Total Actual Cost
AMRITHA JASMINE (1X144),6010000653,05.04.2017,1007,"47,520.00",EA,"817,146.90"
AMRITHA JASMINE (1X144),6010000653,19.04.2017,1007,"15,408.00",EA,"282,075.82"
AMRITHA JASMINE (1X144),6010000653,22.04.2017,1007,"47,520.00",EA,"842,905.35"
AMRITHA JASMINE (1X144),6010000653,24.04.2017,1007,"31,680.00",EA,"552,896.16"
AMRITHA JASMINE (1X144),6010000653,29.04.2017,1007,"47,520.00",EA,"880,660.07"
AMRITHA JASMINE (1X144),6010000653,03.05.2017,1007,"3,312.00",EA,"62,974.87"
AMRITHA JASMINE (1X144),6010000653,05.05.2017,1007,"47,520.00",EA,"894,662.30"
AMRITHA JASMINE (1X144),6010000653,09.05.2017,1007,"12,960.00",EA,"227,299.08"
AMRITHA JASMINE (1X144),6010000653,20.05.2017,1007,"47,520.00",EA,"901,872.96"
AMRITHA JASMINE (1X144),6010000653,22.05.2017,1007,"23,760.00",EA,"498,225.89"
AMRITHA JASMINE (1X144),6010000653,24.05.2017,1007,"8,496.00",EA,"171,992.74"
AMRITHA JASMINE (1X144),6010000653,27.05.2017,1007,"23,760.00",EA,"467,602.97"
AMRITHA JASMINE (1X144),6010000653,29.05.2017,1007,"27,072.00",EA,"541,765.23"
AMRITHA JASMINE (1X144),6010000653,05.06.2017,1007,"38,160.00",EA,"814,834.39"
AMRITHA JASMINE (1X144),6010000653,05.06.2017,1007,"27,072.00",EA,"596,790.56"
AMRITHA JASMINE (1X144),6010000653,06.06.2017,1007,"47,520.00",EA,"1,081,718.22"
AMRITHA JASMINE (1X144),6010000653,16.06.2017,1007,"24,048.00",EA,"540,614.36"
AMRITHA JASMINE (1X144),6010000653,19.06.2017,1007,"23,760.00",EA,"575,506.93"
AMRITHA JASMINE (1X144),6010000653,21.06.2017,1007,"25,344.00",EA,"517,698.03"
AMRITHA JASMINE (1X144),6010000653,24.06.2017,1007,"36,720.00",EA,"830,910.26"
AMRITHA JASMINE (1X144),6010000653,28.06.2017,1007,"29,088.00",EA,"672,221.63"
AMRITHA JASMINE (1X144),6010000653,03.07.2017,1007,"38,016.00",EA,"841,618.95"
AMRITHA JASMINE (1X144),6010000653,03.07.2017,1007,"12,816.00",EA,"325,185.94"
AMRITHA JASMINE (1X144),6010000653,10.07.2017,1007,"32,256.00",EA,"719,584.51"
AMRITHA JASMINE (1X144),6010000653,17.07.2017,1007,"26,784.00",EA,"625,499.56"
AMRITHA JASMINE (1X144),6010000653,14.08.2017,1007,"23,760.00",EA,"659,744.29"
AMRITHA JASMINE (1X144),6010000653,17.08.2017,1007,"2,160.00",EA,"51,584.98"
AMRITHA JASMINE (1X144),6010000653,18.08.2017,1007,"28,080.00",EA,"711,256.86"
AMRITHA JASMINE (1X144),6010000653,19.08.2017,1007,"42,912.00",EA,"1,006,672.54"
AMRITHA JASMINE (1X144),6010000653,21.08.2017,1007,"45,648.00",EA,"1,124,427.75"
AMRITHA JASMINE (1X144),6010000653,22.08.2017,1007,"23,760.00",EA,"571,671.06"
AMRITHA JASMINE (1X144),6010000653,23.08.2017,1007,"44,496.00",EA,"928,563.83"
AMRITHA JASMINE (1X144),6010000653,24.08.2017,1007,"5,760.00",EA,"109,027.81"
AMRITHA JASMINE (1X144),6010000653,26.08.2017,1007,"14,832.00",EA,"316,032.35"
AMRITHA JASMINE (1X144),6010000653,28.08.2017,1007,720,EA,"14,698.99"
AMRITHA JASMINE (1X144),6010000653,31.08.2017,1007,"7,200.00",EA,"147,722.61"
AMRITHA JASMINE (1X144),6010000653,31.08.2017,1007,"27,072.00",EA,"613,260.52"
AMRITHA JASMINE (1X144),6010000653,04.09.2017,1007,"23,760.00",EA,"530,897.44"
AMRITHA JASMINE (1X144),6010000653,04.09.2017,1007,"23,760.00",EA,"546,481.09"
AMRITHA JASMINE (1X144),6010000653,07.09.2017,1007,"3,744.00",EA,"70,696.80"
AMRITHA JASMINE (1X144),6010000653,09.09.2017,1007,576,EA,"11,990.93"
AMRITHA JASMINE (1X144),6010000653,11.09.2017,1007,"18,720.00",EA,"295,505.47"
AMRITHA JASMINE (1X144),6010000653,11.09.2017,1007,"9,792.00",EA,"148,620.01"
AMRITHA JASMINE (1X144),6010000653,18.09.2017,1007,"19,440.00",EA,"427,747.14"
AMRITHA JASMINE (1X144),6010000653,19.09.2017,1007,"29,376.00",EA,"649,932.38"
AMRITHA JASMINE (1X144),6010000653,20.09.2017,1007,"24,480.00",EA,"536,399.20"
AMRITHA JASMINE (1X144),6010000653,28.09.2017,1007,"22,752.00",EA,"600,808.85"
AMRITHA JASMINE (1X144),6010000653,29.09.2017,1007,"15,840.00",EA,"416,568.57"
AMRITHA JASMINE (1X144),6010000653,29.09.2017,1007,"32,112.00",EA,"659,353.37"
AMRITHA JASMINE (1X144),6010000653,09.10.2017,1007,"12,960.00",EA,"389,463.73"
AMRITHA JASMINE (1X144),6010000653,09.10.2017,1007,"15,264.00",EA,"410,575.97"
